weather/find	 	Whats the high for the next 3 days? 	E
alarm/snooze_alarm	 	Snooze the alarm for 20 mins.	E
weather/find	 	what is the temperature high and low for today	E
reminder/set_reminder	 	Remind me to look for a dress for the wedding on Friday	E
alarm/set_alarm	 	Set alarm to go off every 30 seconds for 20 minutes	E
reminder/set_reminder	 	Remind me to get dog food at 4:30 pm	E
weather/find	 	How windy is it in West Virginia?	E
reminder/set_reminder	 	remind me to buy milk	E
reminder/set_reminder	 	Remind me to buy a new basketball hoop for Jimmy	E
alarm/set_alarm	 	Set alarm every 3 minutes for 20 minutes.	E
alarm/cancel_alarm	 	delete my alarms please	E
weather/find	 	whats the temperature in mexico city right now	E
weather/find	 	How many inches of rain are expected in Scranton on Saturday	E
weather/find	 	what's the rain forecast for seattle?	E
weather/find	 	Do I need to bring an umbrella later on?	E
reminder/set_reminder	 	Remind me to get gas	E
reminder/set_reminder	 	Remind me that school starts next week this weekend	E
alarm/set_alarm	 	set alarm to 10pm	E
weather/find	 	might it flood today	E
reminder/set_reminder	 	remind me to take josie to dentist at 4pm	E
weather/find	 	is tuesday to be sunny	E
reminder/set_reminder	 	Remind me to feed my dog at 5	E
weather/find	 	What's the weather look like today?	E
alarm/set_alarm	 	Set an alarm for the 16th at 1 a.m.	E
weather/find	 	What is the weather report?	E
weather/find	 	can we go to the beach this weekend	E
reminder/set_reminder	 	remind me in last 2 mins	E
weather/find	 	Is it going to rain in Hendersonville on Friday?	E
reminder/set_reminder	 	Remind me to buy flowers when I leave work	E
weather/find	 	Is it going to snow on Friday	E
weather/find	 	Is it going to snow today?	E
reminder/set_reminder	 	i need you to remind me my aunt birthday	E
alarm/set_alarm	 	i want the alarm to go off in 10 minutes	E
reminder/set_reminder	 	Remind me to call mom	E
reminder/cancel_reminder	 	delete my two most recent reminders	E
weather/find	 	Should I wear shorts tomorrow?	E
weather/find	 	Is Miami getting rain today?	E
alarm/modify_alarm	 	Change alarm setting to 5am.	E
alarm/time_left_on_alarm	 	How much time is left until my alarm rings?	E
weather/find	 	Will my flight be delayed due to the weather in New York?	E
reminder/set_reminder	 	i want to be reminded to complete the build	E
alarm/set_alarm	 	set an alarm for 8AM tomorrow please	E
weather/find	 	should I wear a light sweater?	E
alarm/set_alarm	 	set an alarm every minute for 10 minutes	E
weather/find	 	Will it be raining today	E
alarm/show_alarms	 	When is my next alarm for	E
weather/find	 	is it going to be hot today	E
weather/find	 	Temperature right now,	E
weather/find	 	Is there rain in the forecast for today?	E
weather/find	 	when are the storms supposed to start 	E
alarm/set_alarm	 	Set alarm for 8 am tomorrow	E
alarm/cancel_alarm	 	cancel oven alarm	E
alarm/show_alarms	 	when is my alarm going to go off	E
weather/find	 	Is it going to be above 80 in degree fahrenheit in Dehli tomorrow	E
alarm/set_alarm	 	Set alarm for 7pm Saturday	E
reminder/set_reminder	 	Set a reminder for Sean's birthday on April 4th.	E
reminder/set_reminder	 	Set reminder to buy condoms for party tonight	E
alarm/cancel_alarm	 	Cancel the time left on alarm.	E
weather/find	 	extended forecast for London	E
weather/find	 	Is it going to rain today?	E
alarm/cancel_alarm	 	Cancel alarm 	E
weather/find	 	Will it be cold in Fremont on Thursday?	E
weather/find	 	How Humid is new york in August?	E
weather/checkSunset	 	What time is sunset on friday	E
alarm/snooze_alarm	 	snooze all the alarms	E
reminder/set_reminder	 	remind me to buy eggs at Walmart	E
weather/find	 	What's the temperature high today?	E
weather/find	 	Is it colder here than Alaska	E
reminder/set_reminder	 	remind me of my date at 6 pm tomorrow	E
alarm/set_alarm	 	Set an alarm for 45 minutes to wake me from my nap	E
alarm/set_alarm	 	set my alarm for 6am every Tuesday 	E
weather/find	 	Temperature for Beijing tomorrow morning Fahrenheit	E
alarm/set_alarm	 	set alarm for 6:30 AM every weekday	E
weather/find	 	Can i expect a moderate weather?	E
