weather	 	Whats the high for the next 3 days? 	E
alarm	 	Snooze the alarm for 20 mins.	E
weather	 	what is the temperature high and low for today	E
reminder	 	Remind me to look for a dress for the wedding on Friday	E
alarm	 	Set alarm to go off every 30 seconds for 20 minutes	E
reminder	 	Remind me to get dog food at 4:30 pm	E
weather	 	How windy is it in West Virginia?	E
reminder	 	remind me to buy milk	E
reminder	 	Remind me to buy a new basketball hoop for Jimmy	E
alarm	 	Set alarm every 3 minutes for 20 minutes.	E
alarm	 	delete my alarms please	E
weather	 	whats the temperature in mexico city right now	E
weather	 	How many inches of rain are expected in Scranton on Saturday	E
weather	 	what's the rain forecast for seattle?	E
weather	 	Do I need to bring an umbrella later on?	E
reminder	 	Remind me to get gas	E
reminder	 	Remind me that school starts next week this weekend	E
alarm	 	set alarm to 10pm	E
weather	 	might it flood today	E
reminder	 	remind me to take josie to dentist at 4pm	E
weather	 	is tuesday to be sunny	E
reminder	 	Remind me to feed my dog at 5	E
weather	 	What's the weather look like today?	E
alarm	 	Set an alarm for the 16th at 1 a.m.	E
weather	 	What is the weather report?	E
weather	 	can we go to the beach this weekend	E
reminder	 	remind me in last 2 mins	E
weather	 	Is it going to rain in Hendersonville on Friday?	E
reminder	 	Remind me to buy flowers when I leave work	E
weather	 	Is it going to snow on Friday	E
weather	 	Is it going to snow today?	E
reminder	 	i need you to remind me my aunt birthday	E
alarm	 	i want the alarm to go off in 10 minutes	E
reminder	 	Remind me to call mom	E
reminder	 	delete my two most recent reminders	E
weather	 	Should I wear shorts tomorrow?	E
weather	 	Is Miami getting rain today?	E
alarm	 	Change alarm setting to 5am.	E
alarm	 	How much time is left until my alarm rings?	E
weather	 	Will my flight be delayed due to the weather in New York?	E
reminder	 	i want to be reminded to complete the build	E
alarm	 	set an alarm for 8AM tomorrow please	E
weather	 	should I wear a light sweater?	E
alarm	 	set an alarm every minute for 10 minutes	E
weather	 	Will it be raining today	E
alarm	 	When is my next alarm for	E
weather	 	is it going to be hot today	E
weather	 	Temperature right now,	E
weather	 	Is there rain in the forecast for today?	E
weather	 	when are the storms supposed to start 	E
alarm	 	Set alarm for 8 am tomorrow	E
alarm	 	cancel oven alarm	E
alarm	 	when is my alarm going to go off	E
weather	 	Is it going to be above 80 in degree fahrenheit in Dehli tomorrow	E
alarm	 	Set alarm for 7pm Saturday	E
reminder	 	Set a reminder for Sean's birthday on April 4th.	E
reminder	 	Set reminder to buy condoms for party tonight	E
alarm	 	Cancel the time left on alarm.	E
weather	 	extended forecast for London	E
weather	 	Is it going to rain today?	E
alarm	 	Cancel alarm 	E
weather	 	Will it be cold in Fremont on Thursday?	E
weather	 	How Humid is new york in August?	E
weather	 	What time is sunset on friday	E
alarm	 	snooze all the alarms	E
reminder	 	remind me to buy eggs at Walmart	E
weather	 	What's the temperature high today?	E
weather	 	Is it colder here than Alaska	E
reminder	 	remind me of my date at 6 pm tomorrow	E
alarm	 	Set an alarm for 45 minutes to wake me from my nap	E
alarm	 	set my alarm for 6am every Tuesday 	E
weather	 	Temperature for Beijing tomorrow morning Fahrenheit	E
alarm	 	set alarm for 6:30 AM every weekday	E
weather	 	Can i expect a moderate weather?	E
reminder	 	Clear all reminders for this weekend	E
alarm	 	set alarm for 7 am	E
reminder	 	Remind me to watch my tv show tonight	E
alarm	 	set an alarm every 5 minutes for 30 minutes	E
weather	 	what is the temperature right now?	E
reminder	 	remind me to get my pants tailored	E
reminder	 	Please remind me to get cat food while I'm out	E
reminder	 	cancel grocery store reminder	E
weather	 	Will I see the sun today	E
weather	 	When is the storm expected to reach me?	E
weather	 	is it going to be cloudy tomorrow	E
alarm	 	set an alarm every 3 hours	E
alarm	 	Sound alarm for 45 seconds	E
reminder	 	Set reminder to put the roast in the oven	E
alarm	 	set a recurring alarm for 7 am please	E
weather	 	How hot will it be tomorrow?	E
alarm	 	Snooze all alarms.	E
weather	 	What time does the sun come up tomorrow	E
weather	 	Is it windy today?	E
weather	 	Is is supposed to rain on the 24th?	E
reminder	 	remind me of when I need to leave for my flight on Friday	E
weather	 	what is the weather like tomorrow	E
alarm	 	Set an alarm every ten minutes 	E
weather	 	What are the chances of sun?	E
reminder	 	Show my Reminders every 30 minutes until I swipe them as done	E
alarm	 	set alarm 5pm	E
weather	 	What are the chances of rain for this week?	E
alarm	 	set alarm every 2 minutes for 10 minutes	E
alarm	 	please show me all alarms	E
reminder	 	Remind me to buy tampons	E
alarm	 	delete alarm for 8:55 PM tonight	E
weather	 	Is it going to be sunny next week?	E
reminder	 	Place a reminder to finish writing my paper.	E
weather	 	How much rain is expected today?	E
weather	 	What is the high for tomorrow in Las Vegas?	E
alarm	 	Bring up list of all alarms	E
weather	 	what is the weather like in Africa?	E
weather	 	how many days this month have been over 90 degrees	E
reminder	 	add a reminder to schedule dentist appointment	E
weather	 	Will it rain	E
alarm	 	change my 5am alarm to 6am please	E
alarm	 	change my 7oclock alarm to six thirty	E
reminder	 	delete all reminders	E
weather	 	Will it be above 93 in Fahrenheit around Dehli tomorrow	E
alarm	 	My alarms	E
weather	 	Whats the weather for NYC today?	E
alarm	 	set alarm for 6am everyday of the week	E
weather	 	What is the weather like today?	E
reminder	 	Remind me to get my car washed tonight	E
weather	 	Weather please.	E
weather	 	How hot is it in Manila tomorrow in fahrenheit	E
reminder	 	remind me to set a timer	E
weather	 	is it going to rain tonight	E
alarm	 	set an alarm for every minute from 9:30 to 10	E
weather	 	how long will this storm last 	E
weather	 	Is it shorts or pants weather in Philadelphia right now? 	E
alarm	 	create an alarm at noon	E
weather	 	When does the sun set today?	E
weather	 	what is the weather like this weekend?	E
weather	 	Will is snow the rest of this week	E
weather	 	Is there a cold front coming	E
weather	 	How hot is it supposed to get today?	E
alarm	 	Set an alarm for tomorrow at 7am 	E
alarm	 	set alarm for 6 p.m. tonight	E
weather	 	What is the forecast for Aug. 15?	E
alarm	 	Set Alarm for Monday morning for 5 am	E
alarm	 	dismiss all alarms	E
alarm	 	Cancel alarm 2.	E
weather	 	should I bring gloves	E
reminder	 	remind me about doctors appointment on monday	E
weather	 	How many inches of snow are we talking about	E
reminder	 	cancel retirement party reminder	E
weather	 	how long will the rain last	E
reminder	 	Remind me to buy a birthday gift for Shannon.	E
weather	 	is it raining in south carolina	E
weather	 	Is it below 70 in F near Sao Paulo today	E
weather	 	What is the expected humidity level today?	E
reminder	 	remind me of my doctors appointment at 9am	E
weather	 	temperature in san diego	E
weather	 	Tell me the weather in Oklahoma and Alabama right now	E
weather	 	what are the temperatures tomorrow and the next day in New York city	E
weather	 	Is rain expected at the shore this weekend?	E
weather	 	Is there snow in the forecast for today?	E
weather	 	What is the forecast for next week?	E
weather	 	Are there any hurricanes near me?	E
weather	 	what is the humidity	E
weather	 	How hard is the wind blowing?	E
alarm	 	set alarm for 420am	E
weather	 	Is it supposed to snow today? 	E
weather	 	is it going to be humid today	E
weather	 	Do I need my rain boots?	E
weather	 	Should I bring a coat	E
reminder	 	remind me to get eggs tomorrow	E
alarm	 	activate all my alarms	E
weather	 	What's the highest temperature today?	E
reminder	 	Remind me to pick-up my dry cleaning tomorrow at 5	E
alarm	 	Cancel the last alarm I set	E
alarm	 	set an alarm for tonight at 7 please	E
weather	 	How cold does it get in Iceland?	E
reminder	 	remind me to take out trash tonight at 6	E
weather	 	Please tell me which days will be sunny.	E
reminder	 	remind me to set out trash tonight at 8	E
alarm	 	Change all alarms to only go off Mon-Fri	E
reminder	 	Please remind me Friday morning to refill my prescription	E
reminder	 	show my reminder	E
alarm	 	Please turn alarm off on weekends.	E
alarm	 	change the alarm to 7am	E
alarm	 	Name alarm weekend alarm.	E
alarm	 	set alarm every 5 minutes	E
weather	 	is it suppose to be cold in duck hill on thanksgiving	E
weather	 	Is it snowing in Chicago?	E
weather	 	Stormy in Pensacola?	E
weather	 	Will it rain in New Jersey today?	E
alarm	 	set alarm for 12 midnight fridays for me	E
alarm	 	Set an alarm to remind me about my parents dinner	E
weather	 	is it going to snow in ohio this weekend	E
weather	 	What is the high temperature today	E
weather	 	Current temperature	E
alarm	 	Set an alarm for tomorrow morning at 4:30	E
reminder	 	show me my reminders	E
weather	 	what's the humidity right now?	E
